keywords,frequency,total_score,avg_intensity,classification
쉐밀,17,-79.55892880908219,3.588235294117647,Critical Issue
망겜,7,-79.20486982798741,4.0,User Sentiment (Emotion)
계정 삭제,6,-78.75577681698132,4.5,Critical Issue
재미 없음,7,-78.41677606042342,4.0,Critical Issue
계정 사라짐,6,-78.11342255439675,4.5,Critical Issue
로그인 문제,6,-77.37712885222564,4.333333333333333,Critical Issue
확률조작,7,-75.68692074891108,4.142857142857143,Critical Issue
사라짐,7,-73.10055428755712,4.0,Critical Issue
데이터 로딩 실패,6,-68.95193768823462,4.333333333333333,Critical Issue
인플레,8,-68.88967645442227,3.625,Critical Issue
아이템,9,-68.08243464329364,3.3333333333333335,Critical Issue
게임 실행 안됨,5,-68.08122291825136,4.6,Critical Issue
지루함,9,-66.49932659459543,3.2222222222222223,User Sentiment (Emotion)
현질유도,10,-65.7930478934573,3.8,Critical Issue
반복,7,-62.39519066292868,3.5714285714285716,Critical Issue
크리스탈,10,-60.765948519163864,3.1,Critical Issue
과금 차이,7,-59.93625836524893,3.5714285714285716,Critical Issue
로딩 시간,10,-59.088963978928604,3.6,Critical Issue
캐릭터,7,-58.7155524734562,3.7142857142857144,Critical Issue
계정 날아감,4,-58.38717713449303,4.75,Critical Issue
업데이트 시간,13,-57.94537887899863,3.076923076923077,Critical Issue
불편,10,-56.291752282943875,3.0,Critical Issue
업데이트 실패,7,-55.33627278129411,3.5714285714285716,Critical Issue
계정,8,-55.266643049783674,3.125,Critical Issue
업데이트 멈춤,7,-55.018905422478944,3.857142857142857,Critical Issue
데이터 소모,6,-54.08318610730394,3.6666666666666665,Critical Issue
재접속,6,-54.06916507470756,3.8333333333333335,Critical Issue
보상 미지급,6,-53.92571431859742,3.6666666666666665,Critical Issue
데이터 로딩,6,-53.76893591132203,3.8333333333333335,Critical Issue
시간,7,-52.760375839622235,3.2857142857142856,Critical Issue
데이터 손실,5,-52.497428338730046,4.0,Critical Issue
삭제,6,-52.429318482582005,3.6666666666666665,Critical Issue
로딩 지연,5,-51.380930755730084,4.2,Critical Issue
접속 오류,5,-50.614303546582065,4.0,Critical Issue
재설치,6,-49.892325543571616,3.8333333333333335,Critical Issue
초기화,6,-49.88734512628237,3.8333333333333335,Critical Issue
게임 삭제,3,-48.83466073461142,5.0,Critical Issue
느림,8,-48.62846798622604,3.125,Critical Issue
스트레스,5,-48.20871004761548,4.0,User Sentiment (Emotion)
다이아,5,-47.599039045850525,3.8,Critical Issue
쿠키 확률,8,-47.49670004230201,3.0,Critical Issue
업데이트 느림,9,-47.476285361881594,3.0,Critical Issue
탈퇴,5,-47.45484358205025,3.6,Critical Issue
쿠키 사라짐,5,-46.848424754867594,3.8,Critical Issue
밸런스 붕괴,4,-45.955188343704194,4.25,Critical Issue
파워 인플레,4,-45.673712299241224,4.25,Critical Issue
멈춤,5,-45.16333214675379,4.0,Critical Issue
이탈,3,-45.050276303064095,4.666666666666667,Critical Issue
메타 변화,5,-45.000169883883075,3.6,Critical Issue
쿠폰,11,-44.51128171003221,2.8181818181818183,Critical Issue
보상 부족,7,-44.47230301590092,3.5714285714285716,Critical Issue
사솔,5,-44.37890455324226,3.8,Critical Issue
재화 부족,5,-44.07456443338758,3.6,Critical Issue
복잡함,7,-44.04646430881093,3.142857142857143,Critical Issue
실망,5,-43.988681634768994,3.8,Critical Issue
서버,8,-43.7977300099603,2.875,Critical Issue
다운로드,5,-43.04984977164998,3.6,Critical Issue
화면 멈춤,4,-42.57058126303906,4.25,Critical Issue
로그인 실패,4,-42.22520253244788,4.0,Critical Issue
설치 오류,4,-41.48894018540717,4.0,Critical Issue
노잼,5,-41.08414602140513,3.6,User Sentiment (Emotion)
레전더리,5,-39.646481659471206,3.6,Critical Issue
게임 종료,3,-39.542159938057665,4.666666666666667,Critical Issue
중독,4,-39.11892276918967,3.75,Critical Issue
안됨,4,-38.15050269608696,3.75,Critical Issue
보석,7,-37.94009866474483,3.142857142857143,Critical Issue
미니게임,5,-37.369127249063155,3.4,Critical Issue
플레이 불가,4,-37.172099158998925,3.75,Critical Issue
최적화,7,-37.04438873259162,3.4285714285714284,Critical Issue
짜증,5,-36.85210677320055,3.4,Critical Issue
콘텐츠,6,-36.17873159711985,3.1666666666666665,Critical Issue
미플,5,-35.703156603713154,4.4,Critical Issue
복귀 유저,4,-35.64297293031067,3.75,Critical Issue
쓰레기,3,-35.112101787726445,4.333333333333333,User Sentiment (Emotion)
이터널 슈가,3,-35.09428632523567,4.333333333333333,Critical Issue
운영 문제,4,-34.844580578189486,3.75,Critical Issue
무지개큐브,6,-34.792427262301274,3.1666666666666665,Critical Issue
스킨 뽑기,9,-34.552460684987494,3.888888888888889,Critical Issue
성장/육성,7,-34.40580128358645,2.857142857142857,Critical Issue
도박,3,-34.180339887498945,4.333333333333333,Critical Issue
불편함,5,-34.01090337010652,3.2,Critical Issue
각성,6,-33.6046474648906,3.1666666666666665,Critical Issue
환불 요청,2,-33.413372007200195,5.0,Critical Issue
해킹,2,-33.413372007200195,5.0,Critical Issue
전설 스킨,3,-33.03025917421742,4.333333333333333,Critical Issue
결제 오류,3,-33.01060394055263,4.0,Critical Issue
무한 로딩,3,-32.47371428078484,4.333333333333333,Critical Issue
보상 감소,4,-31.763628048381896,3.5,Critical Issue
길드,5,-31.386647102080477,3.0,Critical Issue
최적화 문제,3,-31.343672034252737,4.333333333333333,Critical Issue
마법세공,4,-31.10361916463461,3.5,Critical Issue
진행 불가,2,-30.881230075898795,5.0,Critical Issue
밸런스 패치,4,-30.641932961448333,3.25,Critical Issue
화남,2,-30.52088727654685,5.0,Critical Issue
섭종,3,-30.287639253074488,4.0,Critical Issue
문제,5,-29.613577133535614,3.2,Critical Issue
재탕,3,-29.578349348994628,4.0,Critical Issue
업데이트 없음,6,-29.566548551160064,2.8333333333333335,Critical Issue
배터리 소모,3,-29.519429116266686,4.0,Critical Issue
튜토리얼,3,-29.150502696086964,3.6666666666666665,Critical Issue
별점,3,-28.68509260811381,3.6666666666666665,Critical Issue
팅김,4,-28.475349762173614,3.25,Critical Issue
격차,3,-28.116030594546043,4.0,Critical Issue
소리,4,-27.879130808801794,3.25,Critical Issue
레전더리 스킨,4,-27.4364349950051,3.5,Critical Issue
용딸마,6,-27.416884392866088,3.5,Critical Issue
네트워크 연결 문제,2,-27.414512282761006,4.5,Critical Issue
용량 문제,3,-26.98301108711213,3.6666666666666665,Critical Issue
접음,2,-26.827230138531867,4.5,User Sentiment (Emotion)
로딩화면,3,-26.516418460455245,3.6666666666666665,Critical Issue
현질러,3,-26.377632585766396,3.6666666666666665,Critical Issue
계정 접근 불가,2,-26.361820050558713,4.5,Critical Issue
성장,2,-26.33265842454805,4.5,Critical Issue
스토리 버그,2,-26.196171096902653,4.5,Critical Issue
게임 불가,2,-26.18033988749895,4.5,Critical Issue
전설쿠키,2,-25.853226459959405,4.5,Critical Issue
벨런스,4,-25.726365079611064,3.0,Critical Issue
차이,3,-25.722444895579947,3.6666666666666665,Critical Issue
게임 실행 불가,2,-25.47398095961352,4.5,Critical Issue
업데이트 미비,3,-25.35948456946042,3.6666666666666665,Critical Issue
구매,3,-25.205871242308927,3.6666666666666665,Critical Issue
쓰레기 게임,2,-25.18033988749895,4.5,Critical Issue
업그레이드,3,-24.960030646646842,3.6666666666666665,Critical Issue
확률 낮음,4,-24.884739889271813,3.0,Critical Issue
불꽃정령,3,-24.83649380369349,3.6666666666666665,Critical Issue
상점,3,-24.781692043981245,3.6666666666666665,Critical Issue
설치 불가,3,-24.77292939926972,3.6666666666666665,Critical Issue
게임 멈춤,3,-24.53771023494072,3.6666666666666665,Critical Issue
길드 토벌전,2,-24.461658828111712,4.5,Critical Issue
데이터 사용량,3,-24.35948456946042,3.6666666666666665,Critical Issue
레벨업,5,-24.33557118966302,3.6,Critical Issue
재미없음,3,-24.20491943495177,3.3333333333333335,Critical Issue
용량 부족,3,-24.196152422706632,3.6666666666666665,Critical Issue
너프 요청,3,-23.90206221656009,3.6666666666666665,Critical Issue
길드장,2,-23.74486563832999,4.0,Critical Issue
프레임 드랍,2,-23.373731815690498,4.5,Critical Issue
잠금,2,-23.31329489452629,4.0,Critical Issue
오토마우스,4,-23.18015770731761,2.75,Critical Issue
영혼석,3,-23.13478007602724,4.0,Critical Issue
다운로드 문제,2,-23.020128063659037,4.0,Critical Issue
툴 감지,3,-22.992086965566184,4.0,Critical Issue
10026,2,-22.98166567407058,4.5,Critical Issue
밸런스 문제,2,-22.963774454434724,4.0,Critical Issue
수급처,5,-22.836099507361208,3.0,Critical Issue
비스트 쿠키,6,-22.636978948700893,3.6666666666666665,Critical Issue
불공정,2,-22.58286905744938,4.5,Critical Issue
골드치즈쿠키,2,-22.554717975685882,4.0,Critical Issue
과금 유저,2,-22.46309339633587,4.0,Critical Issue
신쿠키,3,-22.289948320241912,3.3333333333333335,Critical Issue
환불,4,-22.280547108208033,3.5,Critical Issue
시간 소모,4,-22.25735394008919,3.0,Critical Issue
설치,4,-22.202903012736734,3.25,Critical Issue
쉐도우 밀크쿠키,3,-21.996446096162337,3.3333333333333335,Critical Issue
지침,3,-21.856462184576085,3.3333333333333335,Critical Issue
억까,3,-21.829405838660605,3.3333333333333335,Critical Issue
미획득,3,-21.570530510893565,3.3333333333333335,Critical Issue
로그아웃,3,-21.56523616800906,3.3333333333333335,Critical Issue
무지개 큐브,4,-21.52325499321089,4.5,Critical Issue
스킨 확률,3,-21.465297087600963,3.3333333333333335,Critical Issue
비쌈,3,-21.392304845413264,3.3333333333333335,Critical Issue
토핑,4,-21.24498941058929,2.75,Critical Issue
친구 추가,5,-21.146609688631653,2.4,Critical Issue
쿠키 부족,4,-20.529651326950933,3.0,Critical Issue
앱 삭제,4,-20.344812309813552,3.5,Critical Issue
복구 요청,2,-20.181480163059764,4.0,Critical Issue
나가짐,2,-20.181480163059764,4.0,Critical Issue
공간 부족,3,-20.166764048937974,3.0,Critical Issue
콘텐츠 난이도,2,-20.035501311068153,4.0,Critical Issue
극악,2,-19.980506372659576,4.0,Moderate Issue
캐릭터 격차,2,-19.977263872701588,4.0,Moderate Issue
벨붕,2,-19.96045062884992,4.0,Moderate Issue
접속 문제,3,-19.943071302379117,3.0,Moderate Issue
스펙업,2,-19.889252798992842,4.0,Moderate Issue
컨텐츠 부족,3,-19.766682933600197,3.0,Moderate Issue
계정 연동,3,-19.750282836447138,3.6666666666666665,Moderate Issue
게임 중단,2,-19.584716036026993,4.0,Moderate Issue
계정 문제,2,-19.526292472873315,4.0,Moderate Issue
사일런트솔트,2,-19.440355490826803,4.0,Moderate Issue
변경,3,-19.43769294794932,3.0,Moderate Issue
신규 유저,3,-19.377187846603803,3.3333333333333335,Moderate Issue
리소스 다운로드,2,-19.362960326119527,4.0,Moderate Issue
10026 오류,2,-19.306671737456405,4.0,Moderate Issue
아이템 사라짐,2,-19.28548356538483,4.0,Moderate Issue
버닝,9,-19.233138291340452,4.111111111111111,Moderate Issue
별사탕 부족,2,-19.181480163059764,4.0,Moderate Issue
아이템 드랍,2,-19.175652197647757,4.0,Moderate Issue
과금 부담,2,-19.16333214675379,4.0,Moderate Issue
우편함,3,-18.879130808801794,3.0,Moderate Issue
네트워크 문제,2,-18.869241940607246,4.0,Moderate Issue
입장횟수,1,-18.837747118034105,5.0,Moderate Issue
힘듦,3,-18.813353018523088,3.0,Moderate Issue
복구,3,-18.59696385701999,3.6666666666666665,Moderate Issue
아레나 모드,2,-18.565036392819962,4.0,Moderate Issue
픽업쿠키,2,-18.42313426084327,3.5,Moderate Issue
먹통,2,-18.422207474520825,4.0,Moderate Issue
추천 조합,2,-18.422207474520825,4.0,Moderate Issue
시스템 오류,2,-18.379245500345885,4.0,Moderate Issue
보상 누락,2,-18.37649231020558,4.0,Moderate Issue
접속 실패,2,-18.326664293507577,4.0,Moderate Issue
불균형,2,-18.326664293507577,4.0,Moderate Issue
쉐도우밀크 쿠키,2,-18.326664293507577,4.0,Moderate Issue
쿠키능력,1,-18.288656090376087,5.0,Moderate Issue
비스트이스트,2,-18.258875327767036,4.0,Moderate Issue
설치 실패,2,-18.258875327767036,4.0,Moderate Issue
태블릿,3,-18.187911694206612,3.0,Moderate Issue
할 것 없음,3,-18.187911694206612,3.0,Moderate Issue
뽑기 확률 낮음,2,-18.16333214675379,4.0,Moderate Issue
게임 오류,2,-18.16333214675379,4.0,Moderate Issue
과금유저,2,-18.16333214675379,4.0,Moderate Issue
소통 부족,3,-18.151892341295007,3.6666666666666665,Moderate Issue
재미 감소,3,-18.09712219842128,3.0,Moderate Issue
다운로드 오류,2,-18.0,4.0,Moderate Issue
실패,2,-18.0,4.0,Moderate Issue
게임 진행 어려움,2,-17.947582502673676,3.5,Moderate Issue
질림,9,-17.813756098112968,2.6666666666666665,Moderate Issue
설치 시간,3,-17.813353018523088,3.0,Moderate Issue
신규 에픽,1,-17.79297351860092,5.0,Moderate Issue
업데이트 부족,3,-17.700905143321492,3.0,Moderate Issue
10026 에러,1,-17.60684263522042,5.0,Moderate Issue
미션 불합리,1,-17.42770587681151,5.0,Moderate Issue
0티어쿠키,1,-17.354904175957234,5.0,Moderate Issue
복귀 유저 차별,1,-17.354904175957234,5.0,Moderate Issue
뽑기100번,1,-17.354904175957234,5.0,Moderate Issue
마그,1,-17.298335668732634,5.0,Moderate Issue
제발,1,-17.298335668732634,5.0,Moderate Issue
게임 설계 문제,1,-17.26694097362924,5.0,Moderate Issue
시험기간,1,-17.233032119701242,5.0,Moderate Issue
길드 해킹,1,-17.233032119701242,5.0,Moderate Issue
진행사항 사라짐,1,-17.233032119701242,5.0,Moderate Issue
강탈,1,-17.233032119701242,5.0,Moderate Issue
불운,1,-17.196171096902653,5.0,Moderate Issue
에픽 캐릭터 없음,1,-17.196171096902653,5.0,Moderate Issue
밸붕캐,1,-17.15579441476919,5.0,Moderate Issue
크리스탈 부족,3,-17.11887940634844,3.0,Moderate Issue
계정 없음,1,-17.111160063445254,5.0,Moderate Issue
이메일 삭제,1,-17.061263103842663,5.0,Moderate Issue
확률 초기화,1,-17.061263103842663,5.0,Moderate Issue
앱 오류,1,-17.061263103842663,5.0,Moderate Issue
계정 해킹,1,-17.004694596618062,5.0,Moderate Issue
접근 불가,1,-17.004694596618062,5.0,Moderate Issue
언밸런스,1,-17.004694596618062,5.0,Moderate Issue
업데이트 이후,1,-17.004694596618062,5.0,Moderate Issue
관리 문제,1,-17.004694596618062,5.0,Moderate Issue
낮은 확률,1,-17.004694596618062,5.0,Moderate Issue
고혈압,1,-16.93939104758667,5.0,Moderate Issue
게임성 부족,1,-16.93939104758667,5.0,Moderate Issue
미완성,1,-16.86215334265462,5.0,Moderate Issue
접을거임,1,-16.86215334265462,5.0,Moderate Issue
로그인 버그,1,-16.76762203172809,5.0,Moderate Issue
에러 코드,1,-16.76762203172809,5.0,Moderate Issue
각성 홀베,1,-16.76762203172809,5.0,Moderate Issue
버러지,1,-16.76762203172809,5.0,Moderate Issue
시스템 변화 없음,1,-16.76762203172809,5.0,Moderate Issue
코인 부족,2,-16.740592911885926,3.5,Moderate Issue
쿠키 차이,1,-16.645749975472103,5.0,Moderate Issue
부도덕,1,-16.645749975472103,5.0,Moderate Issue
타이틀에서 0,1,-16.645749975472103,5.0,Moderate Issue
전원 꺼짐,1,-16.645749975472103,5.0,Moderate Issue
편향,1,-16.645749975472103,5.0,Moderate Issue
쿠키 미지급,1,-16.645749975472103,5.0,Moderate Issue
자동 로그아웃,1,-16.645749975472103,5.0,Moderate Issue
각성 모드,1,-16.645749975472103,5.0,Moderate Issue
연동 문제,1,-16.645749975472103,5.0,Moderate Issue
돌려내라,1,-16.645749975472103,5.0,Moderate Issue
지속힐,1,-16.645749975472103,5.0,Moderate Issue
와이파이 연결 문제,1,-16.645749975472103,5.0,Moderate Issue
구글 포인트,1,-16.645749975472103,5.0,Moderate Issue
데이터 오류,1,-16.645749975472103,5.0,Moderate Issue
전투 다운,1,-16.645749975472103,5.0,Moderate Issue
상품화,1,-16.645749975472103,5.0,Moderate Issue
형편없음,1,-16.645749975472103,5.0,Moderate Issue
갑자기,1,-16.645749975472103,5.0,Moderate Issue
피해량 0,1,-16.645749975472103,5.0,Moderate Issue
사려주세요,1,-16.645749975472103,5.0,Moderate Issue
깨짐,1,-16.645749975472103,5.0,Moderate Issue
전투력 차이,4,-16.52281671621421,3.75,Moderate Issue
로딩 실패,2,-16.50967595532258,3.5,Moderate Issue
구글,2,-16.49008046096799,3.5,Moderate Issue
업데이트 문제,2,-16.49008046096799,3.5,Moderate Issue
길드 마스터,2,-16.49008046096799,3.5,Moderate Issue
계정 돌려줘,1,-16.47398095961352,5.0,Moderate Issue
자원 무한복사,1,-16.47398095961352,5.0,Moderate Issue
계정 변경,1,-16.47398095961352,5.0,Moderate Issue
열리지 않음,1,-16.47398095961352,5.0,Moderate Issue
귀신,1,-16.47398095961352,5.0,Moderate Issue
나락,1,-16.47398095961352,5.0,User Sentiment (Emotion)
화,1,-16.47398095961352,5.0,Moderate Issue
똥 망겜,1,-16.47398095961352,5.0,Moderate Issue
지다,1,-16.47398095961352,5.0,Moderate Issue
재화 소모,1,-16.47398095961352,5.0,Moderate Issue
주작,1,-16.47398095961352,5.0,Moderate Issue
레전드리 아이템,1,-16.47398095961352,5.0,Moderate Issue
아케이드,1,-16.47398095961352,5.0,Moderate Issue
앱 튕김,1,-16.47398095961352,5.0,Moderate Issue
게임 진행 불가,1,-16.47398095961352,5.0,Moderate Issue
초심,2,-16.377632585766396,3.5,Moderate Issue
옵션,2,-16.304589837354236,3.5,Moderate Issue
망함,1,-16.18033988749895,5.0,Moderate Issue
양심,1,-16.18033988749895,5.0,Moderate Issue
위반,1,-16.18033988749895,5.0,Moderate Issue
사라진 계정,1,-16.18033988749895,5.0,Moderate Issue
무재미,1,-16.18033988749895,5.0,Moderate Issue
재설치 실패,1,-16.18033988749895,5.0,Moderate Issue
서비스 종료,1,-16.18033988749895,5.0,Moderate Issue
중복 이름,1,-16.18033988749895,5.0,Moderate Issue
손실,1,-16.18033988749895,5.0,Moderate Issue
쉬도우,1,-16.18033988749895,5.0,Moderate Issue
바궁,1,-16.18033988749895,5.0,Moderate Issue
설치 후 진입 불가,1,-16.18033988749895,5.0,Moderate Issue
갑자기 종료,1,-16.18033988749895,5.0,Moderate Issue
로그인 안됨,1,-16.18033988749895,5.0,Moderate Issue
이슈,1,-16.18033988749895,5.0,Moderate Issue
0 오류,1,-16.18033988749895,5.0,Moderate Issue
여론 조작,1,-16.18033988749895,5.0,Moderate Issue
충격,1,-16.18033988749895,5.0,Moderate Issue
날아감,1,-16.18033988749895,5.0,Moderate Issue
응용프로그램 버그,1,-16.18033988749895,5.0,Moderate Issue
지갑전사,1,-16.18033988749895,5.0,Moderate Issue
리소스 버전 오류,1,-16.18033988749895,5.0,Moderate Issue
게임 실행 오류,1,-16.18033988749895,5.0,Moderate Issue
게임 안 켜짐,1,-16.18033988749895,5.0,Moderate Issue
게임 접속 불가,1,-16.18033988749895,5.0,Moderate Issue
인증 실패,1,-16.18033988749895,5.0,Moderate Issue
앱 실행 안됨,1,-16.18033988749895,5.0,Moderate Issue
과금 요소,2,-16.175750142578718,3.5,Moderate Issue
귀찮음,2,-15.753623588532818,3.5,Moderate Issue
전투력,2,-15.745701291155566,3.5,Moderate Issue
색상 오류,2,-15.716123631114641,3.5,Moderate Issue
데이터 문제,2,-15.696828195065205,3.5,Moderate Issue
최신 쿠키,2,-15.67992350087686,3.5,Moderate Issue
획득,2,-15.654683728826113,3.5,Moderate Issue
할 게 없음,3,-15.577183301120055,2.6666666666666665,Moderate Issue
로그인 불가,2,-15.575397923052517,3.5,Moderate Issue
과도한 과금,2,-15.567475625675264,3.5,Moderate Issue
계정 복구,6,-15.562584057796618,2.6666666666666665,Moderate Issue
게임 강제 종료,2,-15.537710234940722,3.5,Moderate Issue
제한,3,-15.480314302193516,2.6666666666666665,Moderate Issue
소리 없음,2,-15.45502775047367,3.5,Moderate Issue
시간 소요,2,-15.45502775047367,3.5,Moderate Issue
밸붕,2,-15.45502775047367,3.5,Moderate Issue
대기 시간,5,-15.411299211844725,3.0,Moderate Issue
설명 부족,2,-15.374378088186933,3.5,Moderate Issue
업데이트 대기 시간,2,-15.35948456946042,3.5,Moderate Issue
쉐도우밀크맛 쿠키,2,-15.35948456946042,3.5,Moderate Issue
에픽쿠키,2,-15.308600297908228,3.5,Moderate Issue
로딩 느림,2,-15.196152422706632,3.5,Moderate Issue
할게 없음,2,-15.196152422706632,3.5,Moderate Issue
킬링타임,2,-14.578442061174071,3.5,Moderate Issue
스킨,12,-14.549620378871543,3.0,Moderate Issue
트로피 시스템,1,-14.478286263900548,5.0,Moderate Issue
골든치즈 쿠키,2,-14.45378442835604,3.5,Moderate Issue
스킬 사용,2,-14.45378442835604,3.5,Moderate Issue
업데이트 반복,1,-14.407249116285275,5.0,Moderate Issue
네트워크 오류,2,-14.35948456946042,3.5,Moderate Issue
쿠키커터,3,-14.34181331081807,3.0,Moderate Issue
구글 로그인,5,-14.233593455913427,2.8,Moderate Issue
골치,2,-14.196152422706632,3.5,Moderate Issue
저장 용량,2,-14.196152422706632,3.5,Moderate Issue
캐릭터 키우기 난이도,1,-14.037852245943037,5.0,Moderate Issue
크리스탈 뽑기,1,-14.037852245943037,5.0,Moderate Issue
영혼석 확률,1,-14.037852245943037,5.0,Moderate Issue
전투력 상승,1,-14.007825632629332,5.0,Moderate Issue
0티어 캐릭터,1,-13.897930957088874,5.0,Moderate Issue
뉴비 불리,1,-13.897930957088874,5.0,Moderate Issue
재시작,1,-13.897930957088874,5.0,Moderate Issue
중복,3,-13.843056393954972,3.0,Moderate Issue
흥미,3,-13.791415605532185,3.3333333333333335,User Sentiment (Emotion)
위키드 미션,1,-13.735738175872656,5.0,Moderate Issue
확률이 말이 안 됨,1,-13.735738175872656,5.0,Moderate Issue
보물뽑기권,1,-13.735738175872656,5.0,Moderate Issue
마일리지 사라짐,1,-13.735738175872656,5.0,Moderate Issue
경쟁,1,-13.66232299772814,4.0,Moderate Issue
개선 필요,1,-13.658733933892233,5.0,Moderate Issue
고등급 쿠키 확률,1,-13.559458199549756,5.0,Moderate Issue
선택 오류,1,-13.547799056055167,4.0,Moderate Issue
쿠키 삭제,1,-13.547799056055167,4.0,Moderate Issue
로딩시간,2,-13.452739197037513,3.0,Moderate Issue
뽑기 구조,1,-13.41953691069559,5.0,Moderate Issue
쿠키 드랍 확률,1,-13.41953691069559,5.0,Moderate Issue
고급쿠키,2,-13.3488768824606,3.0,Moderate Issue
설치 문제,3,-13.255484219575042,3.0,Moderate Issue
비스트 레이드,2,-13.223950962493635,3.0,Moderate Issue
패치,3,-13.214804995662938,3.0,Moderate Issue
이벤트 종료,1,-13.180339887498949,5.0,Moderate Issue
리소스 다운로드 실패,1,-13.180339887498949,5.0,Moderate Issue
게임 꺼짐,1,-13.180339887498949,5.0,Moderate Issue
실행 오류,1,-13.180339887498949,5.0,Moderate Issue
중복 결제,1,-13.180339887498949,5.0,Moderate Issue
예상시간,1,-13.180339887498949,5.0,Moderate Issue
확률 게임,1,-13.180339887498949,5.0,Moderate Issue
미션 수행 어려움,1,-13.180339887498949,5.0,Moderate Issue
로드시간,1,-13.180339887498949,5.0,Moderate Issue
밸런스 파탄,1,-13.180339887498949,5.0,Moderate Issue
계정 버림,1,-13.180339887498949,5.0,Moderate Issue
잦은 오류,1,-13.180339887498949,5.0,Moderate Issue
오류 코드 50043,1,-13.180339887498949,5.0,Moderate Issue
데이터 초기화,1,-13.180339887498949,5.0,Moderate Issue
초보자,3,-13.171497525348165,3.3333333333333335,Moderate Issue
반복성,2,-13.142604897559234,3.0,Moderate Issue
무과금러,2,-13.134451021032927,3.0,Moderate Issue
업데이트 용량,2,-13.096991676256362,3.0,Moderate Issue
적음,2,-12.795426261296756,3.0,Moderate Issue
불쾌,2,-12.748756176373865,3.0,User Sentiment (Emotion)
엘마,2,-12.729648471018049,3.0,Moderate Issue
없음,2,-12.682978386095161,3.0,Moderate Issue
상향,2,-12.682978386095161,3.0,Moderate Issue
뽑기확률,2,-12.682978386095158,3.0,Moderate Issue
친구 추가 오류,2,-12.50475272061486,3.0,Moderate Issue
미지급,2,-12.50475272061486,3.0,Moderate Issue
빈도,2,-12.50475272061486,3.0,Moderate Issue
불만족,2,-12.50475272061486,3.0,Moderate Issue
계정 차이,2,-12.50475272061486,3.0,Moderate Issue
다운로드 느림,2,-12.40614379310081,3.0,Moderate Issue
소요 시간,2,-12.392304845413264,3.0,Moderate Issue
로딩 문제,2,-12.392304845413264,3.0,Moderate Issue
미스틱,2,-12.392304845413264,3.0,Moderate Issue
친구,2,-12.392304845413264,3.0,Moderate Issue
마법사,2,-12.392304845413264,3.0,Moderate Issue
종결급 쿠키,3,-12.368883970113329,3.6666666666666665,Moderate Issue
불정,3,-12.169711030047013,2.3333333333333335,Moderate Issue
진행 어려움,2,-12.120893369522461,3.0,Moderate Issue
뽑기 문제,2,-12.07311593805374,3.0,Moderate Issue
저장공간 부족,2,-11.991759271499978,3.0,Moderate Issue
버튼,3,-11.778968472778644,2.6666666666666665,Moderate Issue
뽑기 내역,2,-11.723710212328509,3.0,Moderate Issue
슈퍼 에픽,2,-11.682978386095158,3.0,Moderate Issue
이상,2,-11.392304845413264,3.0,Moderate Issue
가이드,1,-11.372396988245104,4.0,Moderate Issue
생산 건물,1,-11.372396988245104,4.0,Moderate Issue
